Keyword,CatID,CatID_fixed,map_status,note
drill spin,SPIN,,NO_MATCH,not found in ucs_catid_list
drill impact,IMPACT,,AMBIGUOUS,SubCategory 'IMPACT' maps to 23 CatIDs
saw cut,CUT,,NO_MATCH,not found in ucs_catid_list
saw scrape,SCRAPE,,NO_MATCH,not found in ucs_catid_list
grinder spark,GRIND,,NO_MATCH,not found in ucs_catid_list
grinder spin,SPIN,,NO_MATCH,not found in ucs_catid_list
bright boom,IMPACT,,AMBIGUOUS,SubCategory 'IMPACT' maps to 23 CatIDs
quick boom,IMPACT,,AMBIGUOUS,SubCategory 'IMPACT' maps to 23 CatIDs
resonant boom,RESONANCE,,NO_MATCH,not found in ucs_catid_list
dark resonance,RESONANCE,,NO_MATCH,not found in ucs_catid_list
metal resonance,RESONANCE,,NO_MATCH,not found in ucs_catid_list
wood resonance,RESONANCE,,NO_MATCH,not found in ucs_catid_list
body resonance,RESONANCE,,NO_MATCH,not found in ucs_catid_list
hollow resonance,RESONANCE,,NO_MATCH,not found in ucs_catid_list
deep resonance,RESONANCE,,NO_MATCH,not found in ucs_catid_list
low resonance,RESONANCE,,NO_MATCH,not found in ucs_catid_list
tight resonance,RESONANCE,,NO_MATCH,not found in ucs_catid_list
ringing resonance,RESONANCE,,NO_MATCH,not found in ucs_catid_list
metal ring,RESONANCE,,NO_MATCH,not found in ucs_catid_list
glass ring,RESONANCE,,NO_MATCH,not found in ucs_catid_list
bell ring,RING,,NO_MATCH,not found in ucs_catid_list
high ring,RING,,NO_MATCH,not found in ucs_catid_list
sharp ring,RING,,NO_MATCH,not found in ucs_catid_list
low ring,RING,,NO_MATCH,not found in ucs_catid_list
long ring,RING,,NO_MATCH,not found in ucs_catid_list
short ring,RING,,NO_MATCH,not found in ucs_catid_list
ping metallic,PING,,NO_MATCH,not found in ucs_catid_list
high ping,PING,,NO_MATCH,not found in ucs_catid_list
low ping,PING,,NO_MATCH,not found in ucs_catid_list
sharp ping,PING,,NO_MATCH,not found in ucs_catid_list
thin ping,PING,,NO_MATCH,not found in ucs_catid_list
tiny ping,PING,,NO_MATCH,not found in ucs_catid_list
tight ping,PING,,NO_MATCH,not found in ucs_catid_list
ping sweetener,PING,,NO_MATCH,not found in ucs_catid_list
impact sweetener,IMPACT,,AMBIGUOUS,SubCategory 'IMPACT' maps to 23 CatIDs
hit sweetener,IMPACT,,AMBIGUOUS,SubCategory 'IMPACT' maps to 23 CatIDs
slam sweetener,SLAM,,NO_MATCH,not found in ucs_catid_list
whoosh sweetener,WHOOSH,,AMBIGUOUS,SubCategory 'WHOOSH' maps to 3 CatIDs
sci fi sweetener,MISC,,AMBIGUOUS,SubCategory 'MISC' maps to 77 CatIDs
thump sweetener,THUMP,,NO_MATCH,not found in ucs_catid_list
tiny thump,THUMP,,NO_MATCH,not found in ucs_catid_list
big thump,THUMP,,NO_MATCH,not found in ucs_catid_list
deep thump,THUMP,,NO_MATCH,not found in ucs_catid_list
soft thump,THUMP,,NO_MATCH,not found in ucs_catid_list
heavy thump,THUMP,,NO_MATCH,not found in ucs_catid_list
low thump,THUMP,,NO_MATCH,not found in ucs_catid_list
body thump,IMPACT,,AMBIGUOUS,SubCategory 'IMPACT' maps to 23 CatIDs
body hit,IMPACT,,AMBIGUOUS,SubCategory 'IMPACT' maps to 23 CatIDs
body slap,SLAP,,NO_MATCH,not found in ucs_catid_list
body fall,FALL,,NO_MATCH,not found in ucs_catid_list
body stumble,MOVEMENT,,AMBIGUOUS,SubCategory 'MOVEMENT' maps to 17 CatIDs
body roll,ROLL,,NO_MATCH,not found in ucs_catid_list
body drag,DRAG,,NO_MATCH,not found in ucs_catid_list
cloth thump,IMPACT,,AMBIGUOUS,SubCategory 'IMPACT' maps to 23 CatIDs
cloth fall,FALL,,NO_MATCH,not found in ucs_catid_list
cloth movement,MOVEMENT,,AMBIGUOUS,SubCategory 'MOVEMENT' maps to 17 CatIDs
cloth shake,RUSTLE,,NO_MATCH,not found in ucs_catid_list
cloth whip,WHOOSH,,AMBIGUOUS,SubCategory 'WHOOSH' maps to 3 CatIDs
texture scrape,SCRAPE,,NO_MATCH,not found in ucs_catid_list
texture rub,FRICTION,,AMBIGUOUS,SubCategory 'FRICTION' maps to 10 CatIDs
texture scratch,SCRATCH,,NO_MATCH,not found in ucs_catid_list
texture drag,DRAG,,NO_MATCH,not found in ucs_catid_list
texture grit,GRAVEL,,NO_MATCH,not found in ucs_catid_list
